LoanId,OrderId,PortfolioId,NoteId,PortfolioName,Invested,InterestRate,Grade,LoanType,Term,PrincipalRemaining,Trend,NoteType,Accrual,PaymentsReceivedToDate,NextPaymentDate,Status,Note Issue Date,OrderDate,LoanStatusDate,Pending Principal Payment,Pending Interest,Purchased,installment,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,Loan Issue Date,1st Month Payment,application_type,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m
73490329,105442326,None,119435955,None,75.0,6.97%,A3,Personal,36,67.417708106,UP,1,0.169686625875,9.2009625,08/11/2016,Current,03/15/2016,03/10/2016,04/08/2016,0.0,0.0,0,617.27,Registrered Nurse,2 years,MORTGAGE,77100,Not Verified,2016-03-08,2016-03-24,2016-03-10,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73490329,,credit_card,Credit card refinancing,727xx,AR,0,2,12891,33.3,46.3,13.14,0,0,1994-07-02,775,779,0,,,7,,14,2,8,0,20793,12445,46.6%,24000,17,f,17978.06,17955.58,2453.59,2450.52,2021.94,431.65,0.0,0.0,0.0,2016-07-14,617.27,2016-08-11,2016-07-14,804,800,10075,10,,0,0,0,0,0,,8,1,7,112734,81588,11655,5,3,3,100,0,0,0,5,133,5,260,14,26700,5,6,0,03/11/2016,,INDIVIDUAL,,,,0,1,1,1,7,8348,82.9,0,1,8628,56.5,0,0,1
73499546,105730998,None,120131636,None,75.0,6.97%,A3,Personal,36,67.4175567941,UP,1,0.104422304634,9.230175,08/16/2016,Current,03/18/2016,03/15/2016,04/15/2016,0.0,0.0,0,308.64,Sales Representative,10+ years,MORTGAGE,81000,Source Verified,2016-03-03,2016-03-29,2016-03-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73499546,,debt_consolidation,Debt consolidation,926xx,CA,0,7,31286,14.3,16.8,14.21,0,0,2001-06-02,715,719,0,,,2,,12,9,15,0,43138,25976,40.8%,37600,35,f,8989.01,8989.01,1230.69,1230.69,1010.99,219.70,0.0,0.0,0.0,2016-07-21,308.64,2016-08-16,2016-07-14,764,760,18303,18,,0,0,0,0,0,,15,4,2,631603,574830,38322,10,4,7,100,0,0,0,8,120,6,177,7,63600,6,11,0,03/16/2016,,INDIVIDUAL,,,,1,1,1,1,2,17162,93.8,3,4,4810,52.7,0,0,4
73519533,104220264,None,119332321,None,75.0,6.97%,A3,Personal,36,67.4176144367,DOWN,1,0.18273918935,9.2010714286,08/10/2016,Current,03/14/2016,03/09/2016,04/08/2016,0.0,0.0,0,324.07,Compliance Analyst,< 1 year,RENT,72000,Source Verified,2016-03-07,2016-03-22,2016-03-08,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73519533,,credit_card,Credit card refinancing,021xx,MA,0,2,8390,40,53.4,30.69,0,0,1998-12-01,705,709,0,,,16,,19,0,29,0,263855,10114,39.7%,18000,45,f,9438.47,9438.47,1288.15,1288.15,1061.53,226.62,0.0,0.0,0.0,2016-07-14,324.07,2016-08-10,2016-07-14,699,695,202825,8,,0,0,0,0,0,,29,0,19,238522,263855,9098,6,5,5,100,0,0,0,36,114,6,122,19,25500,6,7,0,03/10/2016,,INDIVIDUAL,,,,0,21,0,0,40,244559,120.6,0,2,4647,110.6,0,0,0
73539246,105442326,None,119435956,None,75.0,8.39%,B1,Personal,36,67.5649779304,DOWN,1,0.2047031150775,9.3850833333,08/11/2016,Current,03/15/2016,03/10/2016,04/08/2016,0.0,0.0,0,567.3,Land Manager,1 year,RENT,97000,Source Verified,2016-03-04,2016-03-19,2016-03-05,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73539246,,credit_card,Credit card refinancing,752xx,TX,0,0,443,100,99,25.12,0,0,2011-02-01,675,679,0,,,,,28,0,4,0,65608,45257,99%,45700,6,w,16215.59,16215.59,2252.42,2252.42,1784.41,468.01,0.0,0.0,0.0,2016-07-14,567.3,2016-08-11,2016-07-14,649,645,49063,4,,0,0,0,0,0,,4,0,28,94763,65608,16402,4,3,3,100,0,0,0,2,61,3,56,28,45700,3,3,0,03/11/2016,,INDIVIDUAL,,,,0,1,0,0,47,20351,,0,0,25737,99,0,0,0
73561008,105632238,None,120203492,None,75.0,15.310000000000002%,C5,Personal,36,68.2545239762,UP,1,0.23221705823829789,10.3814539006,08/16/2016,Current,03/18/2016,03/15/2016,04/15/2016,0.0,0.0,0,736.39,Title Clerk,4 years,MORTGAGE,47000,Verified,2016-03-03,2016-03-29,2016-03-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73561008,,debt_consolidation,Debt consolidation,190xx,PA,0,5,3917,100,86,18.21,1,0,2005-11-03,670,674,0,,,9,,16,1,7,0,28147,12830,84%,11750,9,f,19247.78,19247.78,2927.57,2927.57,1902.22,1025.35,0.0,0.0,0.0,2016-07-21,736.39,2016-08-16,2016-07-14,779,775,20339,5,,0,0,0,0,0,14,7,2,9,163234,154462,22066,3,3,3,100,1,0,,3,124,5,50,9,15250,5,5,82,03/16/2016,,INDIVIDUAL,,,,0,1,0,1,23,15317,75,1,3,4168,84,0,0,2
73581350,105637267,None,120490609,None,75.0,11.99%,C1,Personal,36,69.723500443,UP,1,0.7645267708470356,7.42229249,07/21/2016,Current,03/23/2016,03/17/2016,04/20/2016,1.794097012889328,0.6966539752529645,0,630.16,Translator,10+ years,MORTGAGE,87000,Not Verified,2016-03-04,2016-03-31,2016-03-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73581350,,credit_card,Credit card refinancing,757xx,TX,0,2,772,80,95.4,6.08,0,0,1992-11-03,675,679,0,,,15,,23,0,6,0,16028,16028,87.1%,16800,17,f,17640.05,17547.08,1877.84,1867.94,1334.95,542.89,0.0,0.0,0.0,2016-06-24,630.16,2016-08-21,2016-07-14,709,705,0,12,,0,0,0,0,0,,6,0,14,18400,16028,2671,11,5,5,100,0,0,0,5,280,5,176,23,18400,5,6,0,03/21/2016,,INDIVIDUAL,,,,0,0,0,1,14,0,,0,1,4733,87.1,1,0,0
73589873,106453532,None,120936071,None,75.0,12.989999999999998%,C2,Personal,36,69.7996966824,UP,1,0.4785350871705,7.9047857143,08/05/2016,Current,03/24/2016,03/20/2016,05/04/2016,0.0,0.0,0,1179.12,MODERNIZATION SUPERINTENDENT,10+ years,OWN,125000,Not Verified,2016-03-17,2016-04-03,2016-03-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73589873,,debt_consolidation,Debt consolidation,775xx,TX,0,4,46032,27.3,49.7,33.91,0,0,2004-12-16,710,714,0,,,9,,16,0,16,0,84305,45468,46.6%,91500,20,f,32573.19,32480.13,3688.9,3678.36,2426.81,1262.09,0.0,0.0,0.0,2016-07-08,1179.12,2016-08-05,2016-07-14,734,730,98591,13,,0,0,0,0,0,,16,0,16,196091,84305,5269,12,9,11,100,0,0,0,7,129,9,135,16,97500,9,12,0,03/22/2016,,INDIVIDUAL,,,,0,4,0,1,21,38837,39.4,0,3,17649,43,1,0,1
73619383,105668248,None,120562256,None,75.0,13.669999999999998%,C3,Personal,36,69.8508931732,UP,1,0.025857287998392858,7.5970714285,07/23/2016,Current,03/25/2016,03/18/2016,04/22/2016,0.0,0.0,0,476.25,Foreman,10+ years,MORTGAGE,90000,Verified,2016-03-04,2016-04-01,2016-03-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73619383,,debt_consolidation,Debt consolidation,984xx,WA,0,6,2224,100,87.1,13.13,0,0,2006-12-01,660,664,0,,,14,,22,2,8,0,33216,19901,80.6%,17200,12,f,13038.83,13038.83,1418.12,1418.12,961.17,456.95,0.0,0.0,0.0,2016-06-28,476.25,2016-08-23,2016-07-14,669,665,15000,6,,0,0,0,0,0,,8,1,11,242015,232235,33176,4,3,3,100,0,0,0,4,74,5,111,11,24700,5,5,219,03/23/2016,,INDIVIDUAL,,,,0,1,0,1,14,13315,88.8,1,3,5796,83.7,0,3,0
73620164,106403313,None,120891467,None,75.0,14.46%,C4,Personal,36,69.9100506055,UP,1,0.7300939618255263,7.6801184211,07/28/2016,Current,03/30/2016,03/19/2016,04/27/2016,0.0,0.0,0,653.63,President,10+ years,MORTGAGE,225000,Verified,2016-03-06,2016-04-02,2016-03-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73620164,,debt_consolidation,Debt consolidation,122xx,NY,0,8,14206,55.6,84.1,28.01,0,0,1984-08-02,680,684,0,,,9,,20,2,25,0,230660,78823,72.1%,89300,37,f,17710.55,17710.55,1945.63,1945.63,1289.45,656.18,0.0,0.0,0.0,2016-07-01,653.63,2016-07-28,2016-07-14,689,685,166151,23,,0,0,0,0,0,,25,3,7,859549,785471,31419,12,8,9,100,0,0,0,11,150,11,379,20,109400,11,15,0,03/28/2016,,INDIVIDUAL,,,,0,7,3,4,7,138248,83.2,0,3,23550,79.7,2,0,3
73628454,104900681,None,119331633,None,75.0,7.39%,A4,Personal,36,69.3634796095,DOWN,1,0.4825567733353645,7.0799347116,07/20/2016,Current,03/14/2016,03/09/2016,04/19/2016,1.902031348335147,0.42716342859630035,0,713.51,HR Director,10+ years,MORTGAGE,200000,Verified,2016-03-07,2016-03-22,2016-03-08,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73628454,,debt_consolidation,Debt consolidation,377xx,TN,0,8,8048,0,47.4,17.52,0,0,1992-07-31,740,744,0,41,,6,,57,3,14,0,171356,11218,28.5%,15300,41,f,21248.35,21248.35,2168.82,2168.82,1726.65,442.17,0.0,0.0,0.0,2016-06-23,713.51,2016-08-20,2016-07-14,714,710,184973,15,,0,0,0,0,0,,14,3,5,227337,171356,12240,11,1,2,97.5,0,0,0,22,168,2,283,17,39400,2,6,0,03/10/2016,,INDIVIDUAL,,,,1,7,3,7,5,158587,90.9,0,1,7252,76.5,1,11,5
